Question,AnwerOption_a,AnwerOption_b,AnwerOption_c,AnwerOption_d,CorrectionOption
Grand Central Terminal  Park Avenue  New York is the world's,largest railway station,highest railway station,longest railway station,None of the above,A
Dandia' is a popular dance of,Punjab,Gujarat,Tamil Nadu,Maharashtra,B
The words 'Satyameva Jayate' inscribed below the base plate of the emblem of India are taken from,Rigveda,Satpath Brahmana,Mundak Upanishad,Ramayana,C 
Which of the following folk dance forms is associated with Gujarat?,Nautanki,Garba,Kathakali,Bhangra,B
Which of the following Akademis is responsible for fostering the development of dance  drama and music in India?,National School of Drama,Sangeet Akademi,Sahitya Akademi,Lalit Kala Akademi,B
The Rath Yatra at Puri is celebrated in honour of which Hindu deity,Ram,Jaganath,Shiva,Vishnu,B
The book of Parsis is,Torah,Bible,Zend Avesta,Gita,C
Kathakali' is a folk dance prevalent in which state?,Karnataka,Orissa,Kerala,Manipur,C
The National Anthem was first sung in the year,1911,1913,1936,1935,A
Thillana is a format of,Kuchipudi,Odissi,Bharatanatyam,Kathak,C